Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
63,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Not Important At All,Very Important,Of Little Importance,Not Important At All,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Not Important At All,I am unaware of any training or development opportunities offered by my department.,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Community Court,
64,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Neutral,Disagree,Neutral,Neutral,Austin Water,Yes
65,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Of Little Importance,Yes,No,Agree,Agree,Agree,Strongly Agree,Parks and Recreation,
66,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Of Little Importance,Absolutely Essential,Likely,Neutral,Neutral,Over 6 months ago,Very Important,Absolutely Essential,Of Little Importance,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Communications and Technology Management,
67,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Absolutely Essential,Unlikely,Unlikely,Neutral,Over 6 months ago,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Yes,Yes,Disagree,Agree,Agree,Agree,I Prefer Not to Disclose,
68,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Likely,Likely,Neutral,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Agree,Agree,Agree,Agree,Communications and Technology Management,
69,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Yes,No,Neutral,Strongly Agree,Strongly Agree,Agree,Watershed Protection,I am not eligible for my department's retention program.
70,More than 15 years,"Yes, I have transferred between City departments.",Neither Important Nor Unimportant,Very Important,Not Important At All,Absolutely Essential,Absolutely Essential,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,Yes
71,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Not Important At All,Absolutely Essential,Neutral,Neutral,Neutral,Within the past 3 months,Very Important,Neither Important Nor Unimportant,Of Little Importance,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Agree,Agree,Agree,Disagree,Communications and Public Information Office,
72,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,No,No,Strongly Agree,Agree,Agree,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
73,More than 15 years,"Yes, I have transferred between City departments.",Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Agree,Agree,Agree,Police Department,
74,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Agree,Agree,Agree,Austin Public Health,No
75,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Water,Yes
76,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Yes,Yes,Agree,Agree,Agree,Agree,Austin Public Health,I am not aware of any retention programs offered by my department.
77,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Agree,Agree,Agree,Development Services Department,I am not aware of any retention programs offered by my department.
78,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Public Library,Yes
79,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Disagree,Disagree,Agree,Law Department,
80,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Agree,City Clerk,
81,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Of Little Importance,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Disagree,Agree,Neutral,Austin Resource Recovery,Yes
